name_from,name_to,distance,price1,price2,price3,price4,price5
PEAGE DE VEAUCHETTE,MONTBRISON MONTROND,,1.2,1.7,2.5,3.2,0.7
PEAGE DE VEAUCHETTE,FEURS,,2.5,4.0,5.0,7.3,1.7
PEAGE DE VEAUCHETTE,PEAGE DE ST ROMAIN DE POPEY,,11.5,18.0,26.3,34.0,6.5
PEAGE DE VEAUCHETTE,TARARE EST FERME,,8.7,12.9,19.3,25.0,4.9
PEAGE DE VEAUCHETTE,TARARE OUEST,,7.2,11.7,16.6,21.4,4.2
PEAGE DE VEAUCHETTE,BALBIGNY,,4.4,7.1,9.5,12.2,2.7
PEAGE DE VEAUCHETTE,ST GERMAIN LAVAL,,4.2,6.1,8.9,12.4,2.5
PEAGE DE VEAUCHETTE,NOIRETABLE,,5.8,9.7,13.6,17.5,3.6
PEAGE DE VEAUCHETTE,THIERS EST,,8.0,12.0,17.3,23.2,4.9
PEAGE DE VEAUCHETTE,THIERS OUEST,,9.4,14.5,20.9,28.0,6.0
PEAGE DE VEAUCHETTE,LEZOUX,,10.1,15.4,22.5,30.0,6.0
PEAGE DE VEAUCHETTE,PEAGE DES MARTRES D ARTIERE,,10.8,17.2,25.4,33.6,6.4
MONTBRISON MONTROND,PEAGE DE VEAUCHETTE,,1.2,1.7,2.5,3.2,0.7
MONTBRISON MONTROND,FEURS,,1.0,1.6,2.3,3.2,0.6
MONTBRISON MONTROND,PEAGE DE ST ROMAIN DE POPEY,,9.7,15.1,20.4,28.7,5.5
MONTBRISON MONTROND,TARARE EST FERME,,6.4,10.2,14.7,19.8,4.0
MONTBRISON MONTROND,TARARE OUEST,,5.1,8.9,11.9,16.1,3.3
MONTBRISON MONTROND,BALBIGNY,,2.5,4.3,5.7,7.8,1.4
MONTBRISON MONTROND,ST GERMAIN LAVAL,,2.6,3.9,5.4,7.5,1.4
MONTBRISON MONTROND,NOIRETABLE,,5.0,7.5,11.3,14.5,3.0
MONTBRISON MONTROND,THIERS EST,,7.0,11.3,15.0,22.2,4.1
MONTBRISON MONTROND,THIERS OUEST,,8.6,13.0,19.0,27.6,5.3
MONTBRISON MONTROND,LEZOUX,,8.8,13.9,19.6,27.4,5.3
MONTBRISON MONTROND,PEAGE DES MARTRES D ARTIERE,,10.7,17.0,25.2,33.4,6.3
FEURS,PEAGE DE VEAUCHETTE,,2.5,4.0,5.0,7.3,1.7
FEURS,MONTBRISON MONTROND,,1.0,1.6,2.3,3.2,0.6
FEURS,PEAGE DE ST ROMAIN DE POPEY,,8.3,12.8,18.4,24.6,4.8
FEURS,TARARE EST FERME,,5.4,8.3,11.8,15.8,3.2
FEURS,TARARE OUEST,,4.1,6.3,9.5,12.5,2.5
FEURS,BALBIGNY,,1.3,2.1,2.9,4.1,0.7
FEURS,ST GERMAIN LAVAL,,1.5,2.3,3.1,4.2,0.8
FEURS,NOIRETABLE,,3.8,5.7,8.4,10.6,2.3
FEURS,THIERS EST,,5.2,8.1,11.0,15.8,3.4
FEURS,THIERS OUEST,,7.2,11.1,16.3,22.8,4.2
FEURS,LEZOUX,,7.7,11.9,17.0,23.1,4.5
FEURS,PEAGE DES MARTRES D ARTIERE,,10.3,16.8,22.5,30.5,6.2
PEAGE DE ST ROMAIN DE POPEY,PEAGE DE VEAUCHETTE,,11.5,18.0,26.3,34.0,6.5
PEAGE DE ST ROMAIN DE POPEY,MONTBRISON MONTROND,,9.7,15.1,20.4,28.7,5.5
PEAGE DE ST ROMAIN DE POPEY,FEURS,,8.3,12.8,18.4,24.6,4.8
PEAGE DE ST ROMAIN DE POPEY,TARARE OUEST,,3.1,4.7,7.0,9.3,1.6
PEAGE DE ST ROMAIN DE POPEY,BALBIGNY,,5.6,9.0,13.0,17.4,3.6
PEAGE DE ST ROMAIN DE POPEY,ST GERMAIN LAVAL,,8.4,12.3,18.1,24.6,4.9
PEAGE DE ST ROMAIN DE POPEY,NOIRETABLE,,10.4,16.0,24.1,32.7,6.3
PEAGE DE ST ROMAIN DE POPEY,THIERS EST,,12.0,19.4,28.3,37.5,7.4
PEAGE DE ST ROMAIN DE POPEY,THIERS OUEST,,13.9,22.2,32.6,43.6,8.2
PEAGE DE ST ROMAIN DE POPEY,LEZOUX,,15.2,22.7,33.4,45.6,8.7
PEAGE DE ST ROMAIN DE POPEY,PEAGE DES MARTRES D ARTIERE,,16.3,25.2,36.8,49.7,9.6
TARARE EST FERME,PEAGE DE VEAUCHETTE,,8.7,12.9,19.3,25.0,4.9
TARARE EST FERME,MONTBRISON MONTROND,,6.4,10.2,14.7,19.8,4.0
TARARE EST FERME,FEURS,,5.4,8.3,11.8,15.8,3.2
TARARE EST FERME,TARARE OUEST,,0.9,1.2,2.2,2.8,0.5
TARARE EST FERME,BALBIGNY,,3.7,5.6,7.9,10.7,2.3
TARARE EST FERME,ST GERMAIN LAVAL,,5.1,7.8,11.1,15.4,3.1
TARARE EST FERME,NOIRETABLE,,7.4,11.5,17.1,23.2,4.5
TARARE EST FERME,THIERS EST,,9.1,14.0,21.1,27.9,5.3
TARARE EST FERME,THIERS OUEST,,10.7,17.0,25.8,33.2,6.1
TARARE EST FERME,LEZOUX,,11.7,17.4,25.5,36.4,6.6
TARARE EST FERME,PEAGE DES MARTRES D ARTIERE,,14.1,22.0,31.1,42.3,8.4
TARARE OUEST,PEAGE DE VEAUCHETTE,,7.2,11.7,16.6,21.4,4.2
TARARE OUEST,MONTBRISON MONTROND,,5.1,8.9,11.9,16.1,3.3
TARARE OUEST,FEURS,,4.1,6.3,9.5,12.5,2.5
TARARE OUEST,PEAGE DE ST ROMAIN DE POPEY,,3.1,4.7,7.0,9.3,1.6
TARARE OUEST,TARARE EST FERME,,0.9,1.2,2.2,2.8,0.5
TARARE OUEST,BALBIGNY,,2.5,3.9,5.3,7.0,1.3
TARARE OUEST,ST GERMAIN LAVAL,,4.0,6.2,8.6,11.8,2.7
TARARE OUEST,NOIRETABLE,,6.4,10.5,14.4,19.2,4.1
TARARE OUEST,THIERS EST,,8.2,12.9,18.0,24.7,5.0
TARARE OUEST,THIERS OUEST,,9.8,16.0,22.4,28.4,5.8
TARARE OUEST,LEZOUX,,10.9,16.4,23.4,32.2,6.3
TARARE OUEST,PEAGE DES MARTRES D ARTIERE,,13.0,21.3,28.7,39.9,8.2
BALBIGNY,PEAGE DE VEAUCHETTE,,4.4,7.1,9.5,12.2,2.7
BALBIGNY,MONTBRISON MONTROND,,2.5,4.3,5.7,7.8,1.4
BALBIGNY,FEURS,,1.3,2.1,2.9,4.1,0.7
BALBIGNY,PEAGE DE ST ROMAIN DE POPEY,,5.6,9.0,13.0,17.4,3.6
BALBIGNY,TARARE EST FERME,,3.7,5.6,7.9,10.7,2.3
BALBIGNY,TARARE OUEST,,2.5,3.9,5.3,7.0,1.3
BALBIGNY,ST GERMAIN LAVAL,,1.1,1.5,2.3,3.4,0.7
BALBIGNY,NOIRETABLE,,3.6,5.3,7.4,10.2,2.2
BALBIGNY,THIERS EST,,5.1,7.7,11.1,15.3,3.5
BALBIGNY,THIERS OUEST,,7.0,10.4,15.5,20.6,3.9
BALBIGNY,LEZOUX,,7.7,11.7,16.0,22.4,4.3
BALBIGNY,PEAGE DES MARTRES D ARTIERE,,9.9,16.2,22.3,29.8,6.1
ST GERMAIN LAVAL,PEAGE DE VEAUCHETTE,,4.2,6.1,8.9,12.4,2.5
ST GERMAIN LAVAL,MONTBRISON MONTROND,,2.6,3.9,5.4,7.5,1.4
ST GERMAIN LAVAL,FEURS,,1.5,2.3,3.1,4.2,0.8
ST GERMAIN LAVAL,PEAGE DE ST ROMAIN DE POPEY,,8.4,12.3,18.1,24.6,4.9
ST GERMAIN LAVAL,TARARE EST FERME,,5.1,7.8,11.1,15.4,3.1
ST GERMAIN LAVAL,TARARE OUEST,,4.0,6.2,8.6,11.8,2.7
ST GERMAIN LAVAL,BALBIGNY,,1.1,1.5,2.3,3.4,0.7
ST GERMAIN LAVAL,NOIRETABLE,,2.0,2.8,4.3,5.9,1.2
ST GERMAIN LAVAL,THIERS EST,,3.4,5.2,8.0,10.3,2.3
ST GERMAIN LAVAL,THIERS OUEST,,4.8,7.8,11.6,14.9,2.8
ST GERMAIN LAVAL,LEZOUX,,5.4,9.2,12.6,17.6,3.6
ST GERMAIN LAVAL,PEAGE DES MARTRES D ARTIERE,,8.5,13.5,18.8,24.9,5.0
NOIRETABLE,PEAGE DE VEAUCHETTE,,5.8,9.7,13.6,17.5,3.6
NOIRETABLE,MONTBRISON MONTROND,,5.0,7.5,11.3,14.5,3.0
NOIRETABLE,FEURS,,3.8,5.7,8.4,10.6,2.3
NOIRETABLE,PEAGE DE ST ROMAIN DE POPEY,,10.4,16.0,24.1,32.7,6.3
NOIRETABLE,TARARE EST FERME,,7.4,11.5,17.1,23.2,4.5
NOIRETABLE,TARARE OUEST,,6.4,10.5,14.4,19.2,4.1
NOIRETABLE,BALBIGNY,,3.6,5.3,7.4,10.2,2.2
NOIRETABLE,ST GERMAIN LAVAL,,2.0,2.8,4.3,5.9,1.2
NOIRETABLE,THIERS EST,,1.3,2.0,2.8,4.1,0.8
NOIRETABLE,THIERS OUEST,,2.6,4.3,6.0,8.6,1.8
NOIRETABLE,LEZOUX,,3.8,5.6,8.2,11.3,2.3
NOIRETABLE,PEAGE DES MARTRES D ARTIERE,,5.8,9.5,13.0,17.4,3.5
THIERS EST,PEAGE DE VEAUCHETTE,,8.0,12.0,17.3,23.2,4.9
THIERS EST,MONTBRISON MONTROND,,7.0,11.3,15.0,22.2,4.1
THIERS EST,FEURS,,5.2,8.1,11.0,15.8,3.4
THIERS EST,PEAGE DE ST ROMAIN DE POPEY,,12.0,19.4,28.3,37.5,7.4
THIERS EST,TARARE EST FERME,,9.1,14.0,21.1,27.9,5.3
THIERS EST,TARARE OUEST,,8.2,12.9,18.0,24.7,5.0
THIERS EST,BALBIGNY,,5.1,7.7,11.1,15.3,3.5
THIERS EST,ST GERMAIN LAVAL,,3.4,5.2,8.0,10.3,2.3
THIERS EST,NOIRETABLE,,1.3,2.0,2.8,4.1,0.8
THIERS EST,THIERS OUEST,,1.0,1.6,2.7,3.2,0.7
THIERS EST,LEZOUX,,2.0,2.9,4.3,5.9,1.0
THIERS EST,PEAGE DES MARTRES D ARTIERE,,3.8,6.1,8.3,11.9,2.3
THIERS OUEST,PEAGE DE VEAUCHETTE,,9.4,14.5,20.9,28.0,6.0
